,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Stephen Curry,36,$55761216,$59606817,$62587158,,,,$177955191
Andrew Wiggins,29,$26276786,$28223215,$30169644,,,,$54500001
Draymond Green,34,$24107143,$25892857,$27678571,,,,$77678571
Dennis Schröder,31,$13025250,,,,,,$13025250
Gary Payton II,32,$9130000,,,,,,$9130000
Kyle Anderson,31,$8780488,$9219512,$9658536,,,,$18000000
Buddy Hield,32,$8780488,$9219512,$9658536,$10097560,,,$27658536
Kevon Looney,28,$8000000,,,,,,$8000000
Jonathan Kuminga,22,$7636307,,,,,,$7636307
Moses Moody,22,$5803269,$11574075,$12500000,$13425925,,,$43303269
Brandin Podziemski,21,$3519960,$3687960,$5679459,,,,$7207920
Lindy Waters III,27,$2196970,,,,,,$2196970
Trayce Jackson-Davis,24,$1891857,$2221677,$2406205,,,,$1891857
Gui Santos,22,$1891857,$2221677,,,,,
Quinten Post,24,,,,,,,
Pat Spencer,28,,,,,,,
Team Totals,,$176801591,$151867302,$160338109,$23523485,,,$448183872
