Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Stephen Curry,36,PG,35,35,31.7,7.6,16.9,.449,4.3,10.6,.407,3.3,6.3,.520,.577,3.1,3.3,.940,0.5,4.4,4.9,6.3,1.1,0.5,3.0,1.2,22.6,
2,Andrew Wiggins,29,SF,37,37,29.6,5.9,13.4,.445,2.2,5.7,.387,3.7,7.6,.489,.528,2.9,3.7,.783,1.5,3.0,4.5,2.3,0.9,0.8,1.3,1.7,17.0,
3,Draymond Green,34,PF,34,32,27.8,2.9,7.1,.415,1.4,3.7,.362,1.6,3.4,.474,.510,1.2,1.9,.615,1.0,5.0,6.0,5.5,1.0,1.1,2.5,3.1,8.4,
4,Dennis Schröder,31,SG,18,17,27.1,3.8,10.7,.359,1.3,4.7,.286,2.5,6.0,.417,.422,1.4,1.7,.806,0.4,1.6,2.0,4.3,0.8,0.1,2.2,2.7,10.4,
5,Jonathan Kuminga,22,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,
6,Brandin Podziemski,21,SG,30,8,24.2,3.1,7.7,.404,1.0,3.5,.295,2.1,4.2,.496,.472,0.7,1.0,.733,1.0,3.5,4.5,3.2,1.0,0.2,1.0,1.5,8.0,
7,Buddy Hield,32,SG,43,11,23.6,4.4,10.5,.419,2.7,7.2,.379,1.7,3.3,.507,.550,0.7,0.9,.842,0.6,2.7,3.3,1.6,0.9,0.3,1.2,1.8,12.3,
8,Trayce Jackson-Davis,24,C,42,34,20.4,3.6,6.3,.575,0.0,0.0,.000,3.6,6.3,.577,.575,1.1,1.9,.600,2.4,4.1,6.5,2.2,0.5,0.8,0.9,1.5,8.4,
9,De'Anthony Melton,26,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,
10,Lindy Waters III,27,SG,35,9,18.3,2.1,5.7,.379,1.4,4.1,.336,0.8,1.6,.491,.500,0.2,0.3,.727,0.4,2.3,2.7,1.2,0.6,0.3,0.5,1.6,5.9,
11,Moses Moody,22,SG,36,4,17.4,2.8,6.6,.429,1.6,4.1,.390,1.3,2.6,.489,.548,1.0,1.3,.745,0.4,1.5,1.9,1.0,0.5,0.3,0.7,1.4,8.2,
12,Kevon Looney,28,C,37,6,15.9,2.3,4.3,.532,0.0,0.0,.000,2.3,4.2,.535,.532,0.6,1.3,.449,2.9,3.9,6.8,1.7,0.8,0.3,0.6,2.2,5.1,
13,Kyle Anderson,31,PF,33,3,15.2,2.1,4.8,.443,0.6,1.5,.373,1.5,3.2,.477,.503,0.5,0.8,.667,0.8,2.4,3.1,2.3,0.8,0.5,0.5,1.1,5.4,
14,Gary Payton II,32,SG,32,6,13.4,2.2,3.9,.552,0.2,1.2,.184,1.9,2.7,.713,.580,0.4,0.6,.632,1.1,1.9,3.0,1.3,0.7,0.3,0.6,1.5,4.9,
15,Gui Santos,22,PF,19,1,10.7,1.2,2.6,.460,0.7,1.7,.394,0.5,0.9,.588,.590,0.2,0.3,.500,0.8,1.3,2.1,1.1,0.4,0.2,0.5,1.3,3.3,
16,Quinten Post,24,PF,5,0,8.2,1.8,4.0,.450,0.6,2.4,.250,1.2,1.6,.750,.525,0.2,0.2,1.000,0.4,1.2,1.6,1.0,0.0,0.4,0.4,1.0,4.4,
17,Pat Spencer,28,PG,17,0,7.1,1.0,2.5,.395,0.1,0.6,.200,0.9,1.9,.455,.419,0.4,0.6,.700,0.5,0.8,1.3,1.6,0.5,0.1,0.6,0.4,2.5,
18,Reece Beekman,23,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,
